census_tract,census_county,hvi
6037123800,Los Angeles County,38.60
6037123901,Los Angeles County,46.48
6037123902,Los Angeles County,32.68
6037124000,Los Angeles County,30.44
6037124102,Los Angeles County,46.61
6037124103,Los Angeles County,56.84
6037124104,Los Angeles County,54.26
6037124105,Los Angeles County,49.42
6037124201,Los Angeles County,42.07
6037124203,Los Angeles County,49.48
6037124204,Los Angeles County,50.18
6037124300,Los Angeles County,42.22
6037124400,Los Angeles County,35.16
6037124500,Los Angeles County,35.86
6037124600,Los Angeles County,28.66
6037124700,Los Angeles County,26.17
6037124902,Los Angeles County,42.89
6037124903,Los Angeles County,41.33
6037125100,Los Angeles County,32.49
6037125200,Los Angeles County,36.12
6037125310,Los Angeles County,49.20
6037125320,Los Angeles County,49.79
6037125401,Los Angeles County,42.48
6037125402,Los Angeles County,34.58
6037125501,Los Angeles County,41.99
6037125502,Los Angeles County,37.43
6037125600,Los Angeles County,29.56
6037127102,Los Angeles County,57.45
6037127103,Los Angeles County,58.23
6037127104,Los Angeles County,56.65
6037127210,Los Angeles County,56.10
6037127220,Los Angeles County,65.64
6037127300,Los Angeles County,43.31
6037127400,Los Angeles County,56.67
6037127520,Los Angeles County,58.72
6037127603,Los Angeles County,55.68
6037127604,Los Angeles County,55.93
6037127605,Los Angeles County,52.01
6037127606,Los Angeles County,46.27
6037127711,Los Angeles County,41.25
6037127712,Los Angeles County,50.15
6037127803,Los Angeles County,66.14
6037127804,Los Angeles County,54.93
6037127805,Los Angeles County,50.99
6037127806,Los Angeles County,48.09
6037127910,Los Angeles County,61.38
6037127920,Los Angeles County,50.35
6037128101,Los Angeles County,39.47
6037128102,Los Angeles County,55.07
6037128210,Los Angeles County,64.99
6037128220,Los Angeles County,43.86
6037128302,Los Angeles County,56.20
6037128303,Los Angeles County,66.36
6037128400,Los Angeles County,37.62
6037128500,Los Angeles County,34.74
6037128601,Los Angeles County,47.38
6037128602,Los Angeles County,32.82
6037128702,Los Angeles County,28.04
6037128801,Los Angeles County,33.53
6037128802,Los Angeles County,33.54
6037128910,Los Angeles County,31.54
6037131010,Los Angeles County,51.36
6037131020,Los Angeles County,47.65
6037131100,Los Angeles County,36.88
6037131200,Los Angeles County,33.55
6037131300,Los Angeles County,43.86
6037131400,Los Angeles County,44.16
6037131600,Los Angeles County,38.93
6037131701,Los Angeles County,48.56
6037131702,Los Angeles County,49.48
6037131800,Los Angeles County,48.36
6037131900,Los Angeles County,40.18
6037132001,Los Angeles County,39.06
6037132002,Los Angeles County,38.37
6037132101,Los Angeles County,44.58
6037132102,Los Angeles County,46.79
6037132300,Los Angeles County,55.02
6037132501,Los Angeles County,47.96
6037132502,Los Angeles County,51.14
6037132700,Los Angeles County,51.15
6037132900,Los Angeles County,35.13
6037133000,Los Angeles County,46.84
6037133100,Los Angeles County,48.86
6037134001,Los Angeles County,52.61
6037134002,Los Angeles County,46.78
6037134101,Los Angeles County,43.52
6037134103,Los Angeles County,41.33
6037134104,Los Angeles County,44.84
6037134201,Los Angeles County,36.91
6037134302,Los Angeles County,33.81
6037134303,Los Angeles County,34.57
6037134304,Los Angeles County,39.51
6037134305,Los Angeles County,63.57
6037134306,Los Angeles County,36.82
6037134421,Los Angeles County,22.33
6037134422,Los Angeles County,25.91
6037134423,Los Angeles County,32.57
6037134424,Los Angeles County,17.71
6037134520,Los Angeles County,55.43
6037134521,Los Angeles County,64.42
6037134522,Los Angeles County,49.78
6037134710,Los Angeles County,54.62
6037134720,Los Angeles County,45.47
6037134800,Los Angeles County,39.40
6037134901,Los Angeles County,36.41
6037134903,Los Angeles County,38.43
6037134904,Los Angeles County,42.11
6037134905,Los Angeles County,21.37
6037135102,Los Angeles County,27.26
6037135111,Los Angeles County,31.49
6037135113,Los Angeles County,33.39
6037135114,Los Angeles County,38.27
6037135201,Los Angeles County,28.50
6037135202,Los Angeles County,26.52
6037135203,Los Angeles County,25.94
6037137000,Los Angeles County,
6037137103,Los Angeles County,32.04
6037137104,Los Angeles County,25.46
6037137201,Los Angeles County,29.62
6037137301,Los Angeles County,23.17
6037137302,Los Angeles County,23.88
6037137401,Los Angeles County,24.04
6037137402,Los Angeles County,25.05
6037137501,Los Angeles County,25.65
6037137502,Los Angeles County,25.20
6037137504,Los Angeles County,12.30
6037138000,Los Angeles County,16.61
6037139001,Los Angeles County,30.81
6037139200,Los Angeles County,31.16
6037139301,Los Angeles County,28.05
6037139302,Los Angeles County,44.34
6037139303,Los Angeles County,44.32
6037139401,Los Angeles County,42.56
6037139402,Los Angeles County,25.94
6037139502,Los Angeles County,34.33
6037139503,Los Angeles County,42.32
6037139504,Los Angeles County,43.74
6037139600,Los Angeles County,25.25
6037139701,Los Angeles County,22.67
6037139702,Los Angeles County,14.81
6037139703,Los Angeles County,19.88
6037139801,Los Angeles County,23.67
6037139802,Los Angeles County,18.52
6037141101,Los Angeles County,31.30
6037141102,Los Angeles County,27.69
6037141201,Los Angeles County,33.07
6037141202,Los Angeles County,28.05
6037141302,Los Angeles County,31.81
6037141303,Los Angeles County,36.33
6037141304,Los Angeles County,32.34
6037141400,Los Angeles County,28.96
6037141500,Los Angeles County,15.36
6037141600,Los Angeles County,13.08
6037141700,Los Angeles County,10.45
6037143100,Los Angeles County,27.84
6037143200,Los Angeles County,31.26
6037143300,Los Angeles County,27.10
6037143400,Los Angeles County,25.55
6037143500,Los Angeles County,25.93
6037143602,Los Angeles County,25.96
6037143603,Los Angeles County,26.62
6037143604,Los Angeles County,30.91
6037143700,Los Angeles County,13.20
6037143800,Los Angeles County,19.83
6037143901,Los Angeles County,13.80
6037143902,Los Angeles County,13.47
6037181000,Los Angeles County,27.86
6037181300,Los Angeles County,28.49
6037181400,Los Angeles County,38.57
6037181500,Los Angeles County,27.06
6037181600,Los Angeles County,28.70
6037183101,Los Angeles County,35.29
6037183103,Los Angeles County,45.47
6037183104,Los Angeles County,35.40
6037183220,Los Angeles County,49.80
6037183221,Los Angeles County,35.97
6037183222,Los Angeles County,33.80
6037183300,Los Angeles County,42.90
6037183401,Los Angeles County,40.90
6037183402,Los Angeles County,42.35
6037183510,Los Angeles County,40.56
6037183520,Los Angeles County,50.66
6037183610,Los Angeles County,52.40
6037183620,Los Angeles County,46.99
6037183701,Los Angeles County,47.56
6037183702,Los Angeles County,35.47
6037183810,Los Angeles County,56.72
6037183820,Los Angeles County,54.24
6037185100,Los Angeles County,35.81
6037185202,Los Angeles County,41.89
6037185203,Los Angeles County,51.12
6037185204,Los Angeles County,32.17
6037185310,Los Angeles County,56.02
6037185320,Los Angeles County,60.28
6037186100,Los Angeles County,36.71
6037186201,Los Angeles County,40.35
6037186202,Los Angeles County,40.48
6037186203,Los Angeles County,31.49
6037186301,Los Angeles County,48.24
6037186302,Los Angeles County,38.76
6037186401,Los Angeles County,60.88
6037186403,Los Angeles County,51.79
6037186404,Los Angeles County,54.65
6037187101,Los Angeles County,44.45
6037187102,Los Angeles County,46.59
6037187200,Los Angeles County,49.87
6037187300,Los Angeles County,31.00
6037188100,Los Angeles County,45.30
6037188201,Los Angeles County,28.59
6037188202,Los Angeles County,29.70
6037188300,Los Angeles County,38.42
6037189101,Los Angeles County,43.39
6037189102,Los Angeles County,37.56
6037189201,Los Angeles County,51.01
6037189202,Los Angeles County,32.42
6037189300,Los Angeles County,20.69
6037189400,Los Angeles County,18.81
6037189500,Los Angeles County,32.77
6037189600,Los Angeles County,25.37
6037189701,Los Angeles County,17.99
6037189702,Los Angeles County,22.19
6037189800,Los Angeles County,34.19
6037189902,Los Angeles County,39.43
6037189903,Los Angeles County,36.50
6037189904,Los Angeles County,41.23
6037189905,Los Angeles County,36.00
6037190100,Los Angeles County,44.48
6037190201,Los Angeles County,59.59
6037190202,Los Angeles County,48.95
6037190301,Los Angeles County,42.95
6037190401,Los Angeles County,52.18
6037190402,Los Angeles County,55.30
6037190510,Los Angeles County,62.89
6037190520,Los Angeles County,61.77
6037190700,Los Angeles County,57.67
6037190801,Los Angeles County,59.64
6037190802,Los Angeles County,52.89
6037190901,Los Angeles County,62.43
6037190902,Los Angeles County,57.10
6037191000,Los Angeles County,55.05
6037191110,Los Angeles County,59.31
6037191120,Los Angeles County,56.67
6037191201,Los Angeles County,56.80
6037191203,Los Angeles County,58.56
6037191204,Los Angeles County,48.96
6037191301,Los Angeles County,57.07
6037191302,Los Angeles County,52.36
6037191410,Los Angeles County,66.08
6037191420,Los Angeles County,59.36
6037191500,Los Angeles County,58.96
6037191610,Los Angeles County,54.20
6037191620,Los Angeles County,67.14
6037191710,Los Angeles County,68.58
6037191720,Los Angeles County,69.02
6037191810,Los Angeles County,61.26
6037191820,Los Angeles County,50.68
6037191901,Los Angeles County,42.98
6037191902,Los Angeles County,35.29
6037192001,Los Angeles County,37.43
6037192002,Los Angeles County,29.24
6037192300,Los Angeles County,32.63
6037192410,Los Angeles County,39.44
6037192420,Los Angeles County,53.39
6037192510,Los Angeles County,56.65
6037192520,Los Angeles County,57.98
6037192610,Los Angeles County,56.65
6037192620,Los Angeles County,64.10
6037192700,Los Angeles County,51.94
6037194101,Los Angeles County,18.71
6037194102,Los Angeles County,12.73
6037194200,Los Angeles County,12.11
6037194300,Los Angeles County,13.66
6037194401,Los Angeles County,33.04
6037194402,Los Angeles County,32.54
6037194500,Los Angeles County,36.58
6037195100,Los Angeles County,29.19
6037195201,Los Angeles County,33.56
6037195202,Los Angeles County,30.54
6037195300,Los Angeles County,40.08
6037195400,Los Angeles County,30.95
6037195500,Los Angeles County,34.64
6037195600,Los Angeles County,45.90
6037195710,Los Angeles County,57.53
6037195720,Los Angeles County,47.72
6037195802,Los Angeles County,51.23
6037195803,Los Angeles County,43.42
6037195804,Los Angeles County,44.87
6037195901,Los Angeles County,39.45
6037195902,Los Angeles County,35.74
6037195903,Los Angeles County,39.06
6037197200,Los Angeles County,41.89
6037197300,Los Angeles County,41.00
6037197410,Los Angeles County,26.10
6037197420,Los Angeles County,46.30
6037197500,Los Angeles County,44.66
6037197600,Los Angeles County,40.03
6037197700,Los Angeles County,47.66
6037199000,Los Angeles County,57.66
6037199110,Los Angeles County,39.12
6037199120,Los Angeles County,54.66
6037199201,Los Angeles County,57.44
6037199202,Los Angeles County,38.11
6037199300,Los Angeles County,34.97
6037199400,Los Angeles County,53.61
6037199700,Los Angeles County,55.76
6037199800,Los Angeles County,58.11
6037199900,Los Angeles County,62.43
6037201110,Los Angeles County,42.15
6037201120,Los Angeles County,43.97
6037201200,Los Angeles County,50.77
6037201301,Los Angeles County,47.01
6037201302,Los Angeles County,26.82
6037201401,Los Angeles County,51.53
6037201402,Los Angeles County,46.33
6037201501,Los Angeles County,50.56
6037201503,Los Angeles County,55.49
6037201504,Los Angeles County,48.94
6037201601,Los Angeles County,44.53
6037201602,Los Angeles County,46.34
6037201700,Los Angeles County,42.64
6037203100,Los Angeles County,63.48
6037203200,Los Angeles County,56.28
6037203300,Los Angeles County,70.51
6037203500,Los Angeles County,63.53
6037203600,Los Angeles County,72.15
6037203710,Los Angeles County,64.92
6037203720,Los Angeles County,73.84
6037203800,Los Angeles County,53.14
6037203900,Los Angeles County,54.66
6037204110,Los Angeles County,57.84
6037204120,Los Angeles County,53.81
6037204200,Los Angeles County,71.62
6037204300,Los Angeles County,67.78
6037204410,Los Angeles County,73.31
6037204420,Los Angeles County,80.89
6037204600,Los Angeles County,62.65
6037204700,Los Angeles County,58.36
6037204810,Los Angeles County,54.63
6037204820,Los Angeles County,58.35
6037204910,Los Angeles County,61.76
6037204920,Los Angeles County,58.27
6037205110,Los Angeles County,66.92
6037205120,Los Angeles County,66.06
6037206010,Los Angeles County,57.60
6037206020,Los Angeles County,40.39
6037206031,Los Angeles County,51.89
6037206032,Los Angeles County,69.54
6037206050,Los Angeles County,65.57
6037206200,Los Angeles County,69.69
6037206300,Los Angeles County,85.88
6037207101,Los Angeles County,52.82
6037207102,Los Angeles County,67.73
6037207103,Los Angeles County,64.72
6037207301,Los Angeles County,71.26
6037207302,Los Angeles County,60.04
6037207400,Los Angeles County,71.93
6037207501,Los Angeles County,34.78
6037207502,Los Angeles County,61.44
6037207710,Los Angeles County,54.90
6037207900,Los Angeles County,54.76
6037208000,Los Angeles County,49.63
6037208301,Los Angeles County,65.81
6037208302,Los Angeles County,64.87
6037208401,Los Angeles County,65.53
6037208402,Los Angeles County,52.90
6037208501,Los Angeles County,51.06
6037208502,Los Angeles County,54.24
6037208610,Los Angeles County,55.28
6037208620,Los Angeles County,49.72
6037208710,Los Angeles County,44.82
6037208720,Los Angeles County,73.68
6037208801,Los Angeles County,66.79
6037208802,Los Angeles County,62.59
6037208902,Los Angeles County,86.99
6037208903,Los Angeles County,79.33
6037208904,Los Angeles County,81.81
6037209102,Los Angeles County,81.93
6037209103,Los Angeles County,79.07
6037209104,Los Angeles County,68.68
6037209200,Los Angeles County,62.32
6037209300,Los Angeles County,62.55
6037209401,Los Angeles County,73.10
6037209402,Los Angeles County,89.25
6037209403,Los Angeles County,73.88
6037209510,Los Angeles County,60.91
